YEAR,COUNTY,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER
2017,CLARK,0,0.0042583,0
2017,OBION,0,0,4986
2017,SCHUYLKILL,0,0,0
2017,JEFFERSON,0,28.6,0
2017,BUTLER,0,0,59744
2017,CALCASIEU PARISH,0,0.05,0
2017,WASHINGTON,5,250,0
2017,SAN JUAN,0,0,0
2017,HALL,2400,14900,0
2017,SHELBY,0,0,0.24
2017,KENTON,87,47,0
2017,QUEENS,0,0.1539,0
2017,NASSAU,3,1,0
2017,DOUGLAS,0,0,0
2017,SNOHOMISH,6,4,0
2017,BRADLEY,1800.03,2584.15,0
2017,RICHLAND,0.17,29.94,0
2017,PEMBINA,0,0.0004906,0
2017,CUYAHOGA,0,0,0
2017,BLOUNT,5,250,0
2017,MADISON,0,0.0025761,0
2017,SALT LAKE,0,0,0
2017,LOS ANGELES,3.11,0.001509,0
2017,MONTGOMERY,209,260,0
2017,EL PASO,0,0,0
2017,ROCK,0,0,0
2017,MACOMB,0,768,0
2017,LAKE,0,5,0
2017,UNION,1,7.27,0.36
2017,PORTAGE,44,20,0
2017,MACOMB,0,0.0015,0
2017,DUBOIS,0,0,0
2017,TIPPECANOE,16812.9,223371.9,0
2017,BENTON,0,0,0
2017,NASSAU,0,0.0023426,0
2017,NASSAU,0,98.16,522
2017,ST CHARLES PARISH,55,122,0
2017,ST CHARLES PARISH,0,0,0
2017,ROCKLAND,0,0,2.44
2017,WASHINGTON,0,0,0
2017,ORANGEBURG,0,1,0
2017,SUFFOLK,343,1029,0
2017,GREENE,0,0,2.08
2017,LOS ANGELES,180,360,17
2017,LOS ANGELES,2200,2500,19
2017,BEXAR,0,0,0
2017,CADDO PARISH,3000,700,5
2017,JEFFERSON,2300,2000,30
2017,NEW CASTLE,0,62168,1513
2017,FLOYD,14,2.7,0
2017,ELKHART,0,0,0
2017,LAUREL,0,0,0
2017,WASHINGTON,58656,0.25,0.087
2017,KANAWHA,5020,3488,2880
2017,PORTAGE,50,150,0
2017,CALHOUN,17.57,13.88,0
2017,MONTGOMERY,0,0,0
2017,MOBILE,0.067,0.012,0
2017,WASHINGTON,A,Pounds,0
2017,TALLADEGA,0,0,0
2017,MACOMB,5,485,0
2017,MASON,250,193,0
2017,JONES,0.02,0,0
2017,COOK,0,2797,0
2017,BURLINGTON,3,3,0
2017,MIDLAND,0,0,0
2017,ST CHARLES PARISH,0.0000012,0.0004842,0
2017,MONTGOMERY,18.3,0,0
2017,CHICKASAW,31,2884,0
2017,GRUNDY,5,5,0
2017,MONTGOMERY,250,14752,0
2017,RUTHERFORD,15,682,0
2017,JEFFERSON,103,349,1.96
2017,ORANGEBURG,82,81,0
2017,MARICOPA,315.69,281.27,0
2017,SHELBY,0,0,0
2017,SHELBY,15,0,0
2017,MARICOPA,1.34,0,0
2017,JEFFERSON,46,464,0
2017,ORANGEBURG,0,9,0
2017,ORANGEBURG,16,3451,0
2017,FRESNO,0.5,0.07,0
2017,WILKES,0,71.3,4.4
2017,DECATUR,60,5,0
2017,ADAMS,0,0,0
2017,BROWN,550,6900,150
2017,JEFFERSON,250,2440,0
2017,OSAGE,0,0,0
2017,WAYNE,A,Pounds,0
2017,MECKLENBURG,0,0,0
2017,MARION,1633,191.1,0
2017,LOGAN,29.42,0,0
2017,JEFFERSON,0,8,0
2017,WISE,0,50,0
2017,WOOD,0,0,0
2017,ELKO,0,0.4,0
2017,CARBON,9682,0,0
2017,MIAMI-DADE,0.0224,0.0137,0
2017,COCHISE,0.15,4.1,0
2017,RAMSEY,65,2,0
2017,JEFFERSON,137,5877,0
2017,HUTCHINSON,1987.5,24.2,0
2017,WYANDOTTE,R,Pounds,0.01
2017,CALHOUN,0,0,0
2017,NIAGARA,11,11,0
2017,NORTHAMPTON,0,0,0
2017,EL PASO,0,0.615,1.11
2017,FLOYD,9,1.7,0
2017,MONROE,10,7,0
2017,NORTHAMPTON,0,0.4,0
2017,HAMILTON,0,0,0
2017,WYANDOTTE,950,0,0
2017,CALHOUN,21,320,0
2017,CALHOUN,38855,456217,0
2017,JEFFERSON,2,93,0
2017,GALVESTON,20000,29000,75
2017,DUNKLIN,0,0,0
2017,CALHOUN,282,3292,0
2017,ESCAMBIA,0,0,0
2017,DUPLIN,0,10.72,0
2017,CALCASIEU PARISH,7300,460,2
2017,DUVAL,0,0,0
2017,CUYAHOGA,0,19911,133
2017,LAUDERDALE,633.37,0,0
2017,LOWNDES,R,Pounds,0.52
2017,ST CHARLES PARISH,1235,1019,3227
2017,MONTGOMERY,250,5,0
2017,WAYNE,0,0,0
2017,LEE,0,5.8,0
2017,FULTON,0,0,0
2017,ALAMOSA,0,53,0
2017,HALL,0,14071,0
2017,BROWN,0,0,0
2017,EAST BATON ROUGE PARISH,0,0,260
2017,RIVERSIDE,0,0,0
2017,WASHINGTON,0,0.068,0
2017,LAUDERDALE,93,941,0
2017,SALT LAKE,304,46,0
2017,HURON,810,2881,0
2017,WARRICK,0,2100,0
2017,WARRICK,R,Pounds,0
2017,HARRIS,0,0,0.02
2017,CARIBOU,0,1.32,0
2017,LOS ANGELES,0,0,0
2017,PUTNAM,49.67,195.17,0
2017,MATAGORDA,21.43,1776.419939,599
2017,LOS ANGELES,0.12,0.64,0
2017,VERMILION,0,0,0
2017,GREENVILLE,Pounds,0,1.9
2017,TULSA,0,0,0
2017,SNOHOMISH,0,1373,0
2017,JEFFERSON,14,125,0
2017,SCOTT,0.7,0.43,0
2017,DALLAS,0,0,0
2017,CLARK,0,0,0
2017,WOODBURY,250,0,5
2017,ST CHARLES PARISH,0,54,0
2017,DEFIANCE,1500,48000,0
2017,CHARLEVOIX,0,0.0028452,0
2017,SUMMIT,0,0,0
2017,SUMMIT,0.114,0.009,0
2017,ADAMS,0,0.05,0
2017,TALLADEGA,0,0,1.34
2017,MONTGOMERY,250,5,0
2017,ORANGEBURG,0,2,0
2017,JEFFERSON,95,2000,0
2017,PULASKI,0,0,0
2017,MASON,R,Pounds,0
2017,WASHINGTON,0,0,0
2017,HOUGHTON,0,0,0
2017,MIDLAND,250,250,0
2017,LAWRENCE,0,0,1
2017,WINNEBAGO,0,0.032,0
2017,CLINTON,0,0,1
2017,JEFFERSON,2204,914,0
2017,NEW CASTLE,0,13.2,0.001
2017,MADISON,34,58,38
2017,ACCOMACK,0,88.08,0.00639
2017,NORTHAMPTON,4,13,5
2017,SCIOTO,0,40.1,0
2017,HARTFORD,0,0,0
2017,WILL,180,28,0
2017,COCHISE,0.001,1.55,0
2017,WAUKESHA,0,83,0
2017,WABASH,13.91,0,0
2017,DORCHESTER,5,0.13,0
2017,HARRIS,5326,59,692
2017,MARSHALL,226,6711,0
2017,GALVESTON,0,14000,0
2017,HANCOCK,4928,33500,0
2017,RANDOLPH,0,0,0
2017,ALLEN,0,13,0.22
2017,MONTGOMERY,38,0,0
2017,HANCOCK,10,2.2,0.29
2017,COWLITZ,5,291880,0
2017,WOODBURY,0,27253,0
2017,ST CHARLES PARISH,9449,254,0
2017,GALVESTON,0,580,0
2017,BRADLEY,0,0,0
2017,CALHOUN,R,Pounds,307
2017,CALCASIEU PARISH,0,183,0
2017,LIMESTONE,0,307,0
2017,CUYAHOGA,7,12,0
2017,GALVESTON,0.0000533,0.0004959,0
2017,NYE,0.38,0.35,0
2017,ST LOUIS,0,0,0
2017,NORTHAMPTON,0.01,0.13,0.001
2017,CHARLEVOIX,0,1,0
2017,DUBOIS,0,0,0
2017,HANCOCK,746,30,0
2017,MECKLENBURG,36.11,0,0
2017,PROVIDENCE,0,0,0
2017,JONES,16,8,0
2017,LEE,120,1430,0
2017,WINSTON,A,Pounds,0
2017,CHEROKEE,10900,24585,0
2017,WORCESTER,0.5,0.5,0
2017,JACKSON,0,0,0
2017,LINN,7.2,2.32,0
2017,GASTON,0.3,0,0
2017,CHICKASAW,0,0,0
2017,FORREST,0,0,0
2017,NORFOLK,250,1356,0
2017,GRANT,188,1,0
2017,DESHA,19592,5060,830
2017,BARRY,4.85,52.88,0.16
2017,YORK,0,0,0
2017,NUECES,51,0,0
2017,CALHOUN,3915,0,0
2017,SAN JOAQUIN,0,3527,0
2017,VENANGO,0,0,0
2017,SNOHOMISH,6646,15179,0
2017,BENTON,0,0,0
2017,BUCKS,7,0,0
2017,TREMPEALEAU,0,0,0
2017,BERGEN,0,0,0
2017,HANCOCK,0,0,0
2017,SCOTT,0,0,0
2017,MONTGOMERY,1.4,0,0
2017,SCOTT,0.7,0.8,0
2017,NORTHAMPTON,1700,16000,1
2017,CALCASIEU PARISH,0,71,0
2017,MARION,0.11,0,0
2017,PARKER,R,Pounds,89.6031
2017,COLLIER,0,0,0
2017,STARK,0,0,0
2017,LAFAYETTE PARISH,53,37,0
2017,SCOTT,0,309,0
2017,WINNEBAGO,5,5,0
2017,HANCOCK,R,Pounds,577.41
2017,LIMESTONE,0,50508,0
2017,MONTGOMERY,250,250,0
2017,NYE,1,3.9,0
2017,RIPLEY,0,0,0
2017,COOK,0,750,0
2017,JEFFERSON,3600,6936,0
2017,MONROE,0,0,0
2017,SNOHOMISH,19359,24231,0
2017,POSEY,0,38.1,0
2017,PEORIA,0,27955,0
2017,COOK,56.3,328,0
2017,BLACKFORD,5,250,0
2017,CARROLL,0,0,0
2017,LAPORTE,50,0,0
2017,ARKANSAS,0,0,0
2017,JOHNSON,0,0,0
2017,RANDOLPH,0.38,87,73
2017,COOK,0,0,0
2017,BALTIMORE,0,0,0
2017,MONTGOMERY,0,0,0
2017,JOHNSON,254,5722.5,0
2017,LOS ANGELES,0,0.084,0
2017,TULSA,5,0,0
2017,RACINE,5,0,0
2017,KERN,404,1,0
2017,SPARTANBURG,8895.83,0,0
2017,DAVIESS,0,0,0
2017,DAVIESS,6.8,61.17,0
2017,LIMESTONE,0,0,10.15
2017,MACOMB,0,0,0
2017,MECKLENBURG,0,0,0
2017,WARRICK,0,6,34
2017,DEKALB,0,0,0
2017,HILLSBOROUGH,5,65,0
2017,WALKER,0,0,0
2017,RANDOLPH,4.79,38.87,0
2017,SMITH,10702,1919,0
2017,BUNCOMBE,12,0,0
2017,DORCHESTER,0,0.0259,0
2017,IZARD,0,0,0
2017,TULSA,5,0,0
2017,LAFAYETTE PARISH,R,Pounds,149.5
2017,WRIGHT,0,0,0
2017,POLK,1714,416,0
2017,HUNT,0,185,32.8
2017,CALCASIEU PARISH,17,27,0
2017,GRUNDY,3895,1137,0
2017,SCOTT,0,0.39,0
2017,CLAY,0.96,0.43,0
2017,APPLING,Pounds,0,0
2017,COLUMBIA,1786,13436,0
2017,LEHIGH,Pounds,0,603
2017,BOUNDARY,0,15.8,0
2017,BINGHAM,R,Pounds,0.0004
2017,JO DAVIESS,220.95,28.27,0
2017,POSEY,0,96,130
2017,PROVIDENCE,0,74.3,0
2017,GRAFTON,3164,274,0
2017,LUZERNE,0,0,0
2017,LUBBOCK,4.03,11.11,0
2017,LUBBOCK,26.32,72.22,0
2017,KING,92,139,0
2017,QUEENS,0,0,0
2017,TROUP,1,1,0
2017,MADISON,0,24674.45,0
2017,WARREN,0,13,0
2017,KNOX,R,Pounds,0
2017,LIVINGSTON,3,3,0
2017,ELKHART,1605,23378,0
2017,JEFFERSON,34,5,0
2017,FORREST,0,0,0
2017,SHELBY,0,0,0
2017,WISE,0,70,0
2017,ST CHARLES PARISH,88,1,0
2017,JEFFERSON,1300,28000,0
2017,LORAIN,0,0,0
2017,MULTNOMAH,108,462,0
2017,FORREST,197.67,567.29,0
2017,KNOX,1,9,0
2017,KENT,0,0,0
2017,SUMMIT,250,750,5
2017,PANOLA,0.031524,0.000762,0
2017,WASHINGTON,0,0,0
2017,EAST BATON ROUGE PARISH,0,0.9507,17.259
2017,WORCESTER,0.5,0.87,0
2017,MATAGORDA,0,0,0
2017,JEFFERSON,0,0,0
2017,HARRIS,2.8,1.02,0
2017,HARRIS,127,254,0
2017,ANDERSON,R,Pounds,3
2017,CASCADE,1197,1939,0
2017,LINN,0,22,0
2017,WARREN,0,2,0
2017,MCHENRY,5,5,0
2017,CALCASIEU PARISH,0,0,0
2017,HARRIS,0,0,0
2017,TUSCALOOSA,0,0.45,0
2017,ALLEGANY,0,182029,0
2017,BOONE,0,0,0
2017,FREDERICK,0,0,0
2017,ASHLAND,0,12031.3452,0
2017,ALLEGANY,0,0,0
2017,FRANKLIN,0,0,0
2017,ROCK ISLAND,19,91,18
2017,IBERVILLE PARISH,Pounds,0,0
2017,MIAMI-DADE,5,5,0
2017,COOK,0,13,0
2017,DUVAL,0,0,0
2017,SPOKANE,5,5,0
2017,HARRIS,319.01,79.87,0
2017,CALCASIEU PARISH,1,0,0
2017,FORSYTH,0.06,0.02,0
2017,EAU CLAIRE,31,108,0
2017,SONOMA,0,0,0
2017,PORT ARTHUR,Pounds,49,0
2017,HANCOCK,0,0,0
2017,MERCER,0,1.7,12.3
2017,FRANKLIN,0,0,0
2017,WORCESTER,188,0,0
2017,MACON,0,0,0
2017,GALVESTON,13000,12000,750
2017,MCNAIRY,0,0,0
2017,MIAMI,0.0576,0.098,0
2017,NUECES,31,0,0
2017,CUYAHOGA,26,145,0
2017,KING WILLIAM,0,110.13,201
2017,JEFFERSON,0,0,0
2017,RICHMOND,0,140,0
2017,JEFFERSON,0,0,0
2017,PORT ARTHUR,Pounds,53,0
2017,PORT ARTHUR,Pounds,4,0
2017,WALKER,0,0,0
2017,WALKER,0,0,0
2017,EAST BATON ROUGE PARISH,0.03,0.44,0
2017,EAST BATON ROUGE PARISH,0,0.68,0
2017,DAKOTA,0,0,0
2017,HUMPHREYS,169,150,235
2017,PIERCE,1335,1056,3.6
2017,CASS,0,250,0
2017,ORANGE,15679.55,113580.74,148
2017,PHILADELPHIA,0,0,0
2017,ST CHARLES PARISH,R,Pounds,1228
2017,FRANKLIN,0,0,0
2017,LAKE,5,250,0
2017,SHELBY,210,80999,0
2017,LEWIS,1,503.88,250.49
2017,LEWIS,0,0,65686
2017,COLUMBIANA,0.000006,0.02,0
2017,COLUMBIANA,0.34,0.14,0
2017,COLUMBIANA,0.01,0.28,0
2017,COLUMBIANA,Pounds,0.001,0.05
2017,SHELBY,228.65,4572.97,0
2017,JOHNSON,0.24,2.41,0
2017,HAVERHILL,Pounds,0,0
2017,ST CHARLES PARISH,358,347,0
2017,STANTON,31.04,0,0
2017,JEFFERSON,0,35126.69,0
2017,MUSCOGEE,R,Pounds,0
2017,BROWN,75.21,5.53,0
2017,FAIRBANKS NORTH STAR BORO,116,4,0
2017,PALM BAY,Pounds,104,937
2017,ESCAMBIA,0,0,0
2017,DECATUR,0,5.69,11.564
2017,DOUGLAS,0,0.0010885,0
2017,COOK,0,0,0
2017,SHEBOYGAN,0,0,0
2017,PICKENS,0,0,0
2017,SPOKANE,172,952,0
2017,FRANKLIN,0,0,0
2017,ORANGE,0,0,0
2017,WAYNE,0,0,0
2017,HARRISONBURG (CITY),0,0,0
2017,BOWIE,7,63,0
2017,COOK,0,0,0
2017,AIKEN,3.1,8.5,3.1
2017,NEW CASTLE,5.51,95,2.4
2017,NORTHAMPTON,0,0,51
2017,GREENUP,1300,3500,0
2017,LOS ANGELES,5,5,0
2017,JEFFERSON,1393,2,0
2017,BROWARD,3,7,0
2017,HUTCHINSON,55,91533,0
2017,MUSCATINE,1,9,4
2017,LICKING,0,0,0
2017,WALLA WALLA,208,0,0
2017,CRITTENDEN,102,289,0
2017,CLERMONT,0,0.0028634,0
2017,BLAIR,0,0,0
2017,HAMILTON,0,1.8,0
2017,DALLAS,0,0,0
2017,OKLAHOMA,0,0,0
2017,HUMACAO,0,0,0
2017,KINGS,0,672,0
2017,KENT,0,0,0
2017,FREEBORN,0,0,0
2017,BUTLER,0,0,0
2017,DUPAGE,6,0,0
2017,FRANKLIN,34,310,0.21
2017,BUTLER,0,0,0
2017,WARREN,118,118,0
2017,GRAYSON,0.01,0,0
2017,KALAMAZOO,0,0,0
2017,KINGFISHER,727,0,0
2017,MIDDLESEX,0,0,0
2017,GASTON,1,29,1608
2017,SHELBY,250,250,0
2017,ALAMEDA,0,0.01,0
2017,ASCENSION PARISH,0,0,0
2017,DANE,0,550,0
2017,FRESNO,0.86,0,0
2017,SHOSHONE,1.19,0,2.87
2017,PORT ARTHUR,Pounds,47,0
2017,ETOWAH,0,0,0
2017,CAMP,10,71.6,4
2017,SUSSEX,0,0,0
2017,JEFFERSON,A,Pounds,0
2017,DAVIDSON,0,0,0
2017,FREDERICK,0,0,0
2017,IBERVILLE PARISH,139,0,0
2017,OAKLAND,0,0.047,0
2017,RAMSEY,0,0,0
2017,MIAMI,0.004,0.059,0
2017,ORANGE,0,4.83,2.09
2017,SAN JOAQUIN,220,3418.7,0
2017,PORT ARTHUR,R,Pounds,58
2017,CHATHAM,0,0,0
2017,PORT ARTHUR,Pounds,0,4
2017,PORT ARTHUR,Pounds,3,0
2017,KANE,0,0,0
2017,RAPIDES PARISH,0,350.4,0
2017,HAMPDEN,2.43,0,0
2017,SNOHOMISH,0,250,0
2017,WORCESTER,103,318,0
2017,WARREN,0,55,0
2017,OTTAWA,0,33.2,0
2017,LAKE,0,0,0
2017,RUTLAND,0,0,0
2017,KING WILLIAM,0,0.0019923,0.000749
2017,NUECES,15274,10518,110
2017,HENDERSON,0,0,0
2017,HAYWOOD,0,0.11,0
2017,CUYAHOGA,0.52,36.1,0
2017,JEFFERSON,250,250,0
2017,CARIBOU,2401.1,86.1,0
2017,NEW CASTLE,R,Pounds,247
2017,BROOKE,1,0,0
2017,ROSS,0,13000,0
2017,WILLIAMSON,0,21000,0
2017,JEFFERSON,162,0.3,0
2017,JEFFERSON,6357,2822.6,1790
2017,NEW CASTLE,0,0.0000093,0
2017,GREGG,73,5606,0
2017,ROCK ISLAND,39,640,360
2017,IBERVILLE PARISH,0,0,0
2017,CADDO PARISH,113,2748,0
2017,SULLIVAN,0,0,0
2017,IBERVILLE PARISH,R,Pounds,967
2017,PLATTE,5,0,1
2017,HALL,0.07,0.02,0
2017,EAST BATON ROUGE PARISH,0,0,0
2017,SUMTER,0,5,0
2017,OSCEOLA,R,Pounds,2053
2017,PLAQUEMINES PARISH,0,0,0
2017,POLK,0,7295,0
2017,WILL,34.6,100.2,0
2017,LAKE,0,671,1102
2017,WASHINGTON,0,0,0
2017,WEST BATON ROUGE PARISH,444,202,0
2017,PORT ARTHUR,R,Pounds,48
2017,CARIBOU,21,588.7,0
2017,CUYAHOGA,64,281,0
2017,CONTRA COSTA,3600,7600,7
2017,KERN,0,0,0
2017,MARATHON,0,326.7,0
2017,GLYNN,51821,32868,2301
2017,IBERVILLE PARISH,5,68,0
2017,LOS ANGELES,0,0,0
2017,GRAYS HARBOR,0,0,774
2017,CARROLL,0.1,17.74,0
2017,CRAVEN,3144,1462,0
2017,IBERVILLE PARISH,0,0,0
2017,ALLEN,0,0,0
2017,ROCKINGHAM,0.1,14.3,0
2017,HARRISON,4577,87,0
2017,WEST BATON ROUGE PARISH,485,3559,0
2017,LAWRENCE,1724,0,0
2017,PORT ARTHUR,Pounds,48,0
2017,GREENE,5,0,5
2017,PORT ARTHUR,Pounds,14,4
2017,DES MOINES,210,0.5,2
2017,UNION,1289,1207,0.6
2017,LAKE,0,18000,12000
2017,CUYAHOGA,2980,25640,1681
2017,CUYAHOGA,426,216,49
2017,BANKS,0,0,0
2017,LICKING,0.31,0,0
2017,JASPER,0,0,0
2017,ORANGE,0,0,0
2017,PORT ARTHUR,Pounds,3,0
2017,LAKE,700,2700,0
2017,PORT ARTHUR,Pounds,51,0
2017,PARMER,0,0,0
2017,BOWIE,697,6272,0
2017,MARICOPA,0,0,0
2017,FLATHEAD,250,68000,0
2017,COOK,1,3,0
2017,LANCASTER,0,0,0
2017,SCHUYLKILL,0,5.44,0
2017,SHELBY,32,28,0
2017,WARREN,534,12599,0
2017,JOHNSON,R,Pounds,0
2017,DELAWARE,1.07,17.4,20.4
2017,NEW MADRID,R,Pounds,2.5
2017,COLUMBIANA,0.01,0.03,0
2017,INDIANA,0,96.4,0
2017,LEA,0,0,0
2017,IBERVILLE PARISH,0,21,0
2017,MADISON,1118,18587,0
2017,HERKIMER,3,1,0
2017,ORANGE,0,4,0
2017,MARATHON,8,0,0
2017,LIBERTY,0,0,0
2017,KENOSHA,5,250,0
2017,DUVAL,5,253,0
2017,NORFOLK (CITY),0,0,0
2017,ALEXANDER,30.7,0,0
2017,BALTIMORE (CITY),690,0,0
2017,SAUK,0,1.023,0
2017,UNION,30,0,0
2017,FOUNTAIN,9.74,9.55,3.18
2017,SENECA,0,0,0
2017,RANDOLPH,0,0,0
2017,HAMBLEN,0,1,1
2017,LEON,1167,2093,1159
2017,MADISON,0,914,0
2017,CUYAHOGA,33,203,0
2017,ALLEN,0,0,0
2017,BUCHANAN,0,0,0
2017,LANCASTER,0,0,0
2017,MERCER,0,13962,0
2017,SHELBY,R,Pounds,81.1
2017,PORT ARTHUR,Pounds,0,88
